checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence,property_magnitude,age,age_cat,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,2,1,6,142,4,3,3,3,2,3,3,48,0,1,1,1,1,0,1,1,1
0,29,3,6,770,2,0,1,0,2,1,3,3,1,1,1,0,1,0,0,1,0
3,8,1,2,390,2,1,1,3,2,2,3,30,0,1,1,0,3,1,0,1,1
1,26,3,3,848,2,1,1,3,1,3,1,26,0,1,0,0,1,1,0,1,1
1,17,2,4,734,2,0,2,3,2,3,2,34,0,1,0,1,1,1,0,1,0
3,23,3,2,869,4,0,1,3,2,3,2,16,0,1,0,0,3,1,1,1,1
3,17,3,3,533,1,3,2,3,2,3,1,34,0,1,1,0,1,0,0,1,1
0,23,3,9,813,2,0,1,3,2,1,0,16,0,1,2,0,0,0,1,1,1
3,8,3,6,562,3,1,1,1,2,3,3,42,0,1,1,0,3,0,0,1,1
0,21,1,4,747,2,4,3,2,2,1,0,9,0,1,1,1,0,0,0,1,0
0,8,3,4,190,2,2,2,0,2,0,0,6,1,1,2,0,1,0,0,1,0
1,29,3,0,700,2,2,2,0,2,3,1,5,1,1,2,0,1,0,0,1,0
0,8,3,6,287,2,0,0,0,2,0,0,3,1,1,1,0,1,0,1,1,1
1,17,1,4,149,2,3,3,3,2,3,0,41,0,1,1,1,3,0,0,1,0
1,11,3,4,232,2,0,1,0,2,3,0,9,0,1,2,0,1,0,0,1,1
1,17,3,6,183,0,0,3,0,2,1,0,13,0,1,1,0,3,0,0,1,0
3,17,1,6,464,4,3,3,3,2,3,1,34,0,1,1,1,1,0,0,1,1
1,21,4,0,852,4,2,1,3,2,2,0,6,1,0,1,2,1,0,0,1,1
0,17,3,9,903,2,3,3,0,2,1,2,25,0,1,0,0,0,0,1,1,0
3,17,3,6,608,1,3,2,3,2,1,0,12,0,1,1,0,1,1,1,1,1
3,5,1,4,401,2,0,3,3,2,3,0,29,0,1,1,2,1,0,1,1,1
1,2,3,6,498,1,0,1,3,2,2,3,25,0,1,2,0,1,1,0,1,1
1,6,1,4,422,2,2,0,3,2,2,3,29,0,1,2,1,3,1,0,0,1
0,8,1,9,322,0,2,2,3,2,3,1,25,0,1,1,0,1,0,0,1,1
3,6,1,3,387,4,0,1,2,2,0,0,7,0,1,1,1,1,0,0,0,1
1,2,3,3,222,2,0,0,3,2,1,3,17,0,0,1,0,3,0,1,1,1
3,2,4,6,10,2,3,3,2,2,3,0,20,0,1,1,0,3,0,0,1,1
2,8,0,6,9,3,0,2,0,2,2,3,23,0,1,2,1,1,0,0,1,1
0,3,3,6,463,2,0,2,3,1,1,3,15,0,1,1,0,1,0,0,1,1
1,31,2,0,808,2,3,2,3,2,3,2,44,0,1,1,1,1,0,1,1,0
0,13,3,0,349,3,2,2,2,2,2,3,17,0,0,1,0,1,0,1,1,1
1,17,3,3,682,2,0,1,3,2,1,0,8,0,2,1,0,1,0,0,1,1
0,13,3,4,768,0,0,1,3,2,1,0,11,0,1,1,1,1,0,1,1,1
3,8,1,0,178,4,3,3,3,2,3,2,38,0,1,2,0,3,0,0,1,1
2,8,3,3,253,2,2,3,0,2,0,1,14,0,0,1,0,0,0,1,1,1
0,27,1,6,725,2,2,3,3,2,1,1,6,1,1,1,1,3,0,0,1,0
3,29,1,2,776,2,0,0,3,2,2,2,12,0,0,0,0,1,0,1,1,1
2,13,3,6,391,2,0,3,3,0,1,3,18,0,2,1,0,1,0,0,1,0
2,6,3,1,163,2,0,1,3,2,1,0,18,0,1,1,0,1,0,1,1,1
0,5,3,6,15,2,0,3,3,2,2,3,5,1,1,1,0,1,0,0,1,1
3,21,3,6,447,1,3,3,3,2,1,0,11,0,0,1,0,0,0,0,1,1
0,8,3,6,138,1,0,2,1,2,0,0,7,0,1,1,0,1,0,1,1,1
0,13,2,7,781,2,0,1,3,2,3,3,25,0,1,1,0,3,1,1,1,1
1,21,1,9,779,0,1,0,2,2,3,0,5,1,1,2,1,1,0,0,1,1
1,29,1,9,777,2,3,3,0,2,3,2,39,0,2,0,1,3,0,0,1,0
3,7,1,4,230,2,2,3,0,2,3,0,16,0,1,1,1,0,0,0,1,1
3,23,3,6,434,1,3,3,3,2,3,0,20,0,1,1,0,1,0,0,1,1
1,2,3,9,213,1,4,0,0,2,1,1,4,1,1,2,0,2,0,1,1,1
3,7,1,4,821,2,0,0,3,2,3,1,20,0,1,1,1,3,0,0,1,1
3,8,3,6,388,0,0,3,0,0,1,3,9,0,1,1,0,1,0,0,1,1
0,17,2,3,447,4,2,3,3,2,1,1,10,0,0,1,0,3,0,0,1,1
0,19,2,9,772,2,3,0,3,2,1,0,11,0,1,1,1,0,0,1,1,1
3,8,3,6,177,2,0,2,3,2,1,0,6,1,1,1,0,1,0,0,1,1
3,13,3,9,598,4,0,1,3,2,0,1,12,0,1,1,0,1,0,1,1,1
0,23,2,4,419,2,3,3,3,2,3,2,38,0,0,0,1,1,0,1,1,0
3,2,0,4,64,4,0,0,3,1,1,3,7,0,2,1,0,3,1,0,1,1
0,8,3,6,797,4,4,1,3,2,0,2,33,0,1,1,0,0,0,1,1,0
3,23,1,6,876,2,0,1,0,2,1,0,12,0,2,1,1,1,0,0,1,1
2,13,3,4,366,2,3,2,0,2,1,0,4,1,1,1,0,0,0,0,1,1
1,23,1,3,783,2,2,3,0,0,3,2,4,1,1,2,1,3,0,1,1,0
0,5,3,0,229,2,0,1,2,2,0,3,8,0,0,1,0,1,0,1,1,1
0,11,1,6,275,4,3,3,3,1,3,3,31,0,1,1,1,1,0,1,1,1
0,23,4,0,364,2,3,3,3,2,3,2,42,0,1,0,0,0,0,1,1,0
0,29,4,0,912,2,0,1,3,2,1,0,6,1,1,1,0,1,0,1,1,0
3,17,3,6,580,2,2,3,0,2,3,1,7,0,1,1,0,1,0,1,1,1
3,19,3,7,746,4,3,3,3,2,3,1,29,0,1,1,3,1,1,1,1,1
3,8,3,6,410,2,2,1,0,2,1,0,10,0,0,1,0,1,0,0,1,1
0,8,3,4,107,3,0,3,2,2,0,3,3,1,1,1,0,1,0,0,1,1
3,23,3,2,325,2,0,3,3,2,3,2,18,0,2,0,0,1,0,1,1,0
3,23,3,6,459,4,0,3,0,2,3,0,6,1,1,1,0,1,0,0,1,1
3,23,3,9,854,2,0,0,0,2,1,1,11,0,0,1,0,1,0,0,1,1
3,3,1,6,51,4,3,3,3,2,1,1,27,0,1,2,1,3,0,1,1,1
1,4,1,5,140,2,3,2,3,2,3,2,32,0,0,0,1,0,1,1,1,1
0,26,1,0,771,2,1,1,0,2,0,3,22,0,0,1,1,3,0,0,1,1
1,23,3,2,370,4,3,3,3,2,3,2,21,0,1,1,0,0,0,1,1,0
1,8,1,9,270,2,3,3,3,2,3,2,47,0,1,0,1,0,0,0,1,1
1,26,3,6,674,2,2,3,3,2,2,0,15,0,1,1,0,1,0,0,1,0
0,7,2,6,726,2,1,1,3,2,3,1,32,0,1,1,0,1,0,0,1,1
3,30,4,9,875,4,0,1,3,2,1,1,20,0,1,1,0,3,1,0,1,1
0,21,3,3,657,2,2,1,2,2,0,1,3,1,1,1,0,1,0,0,1,1
3,17,3,6,769,4,2,0,0,2,0,0,25,0,1,1,1,1,0,1,1,0
3,11,3,6,157,1,3,3,3,2,2,1,28,0,2,1,0,1,0,1,1,1
3,13,3,0,288,0,0,2,0,2,3,1,5,1,1,2,0,3,0,0,1,1
1,17,3,5,315,2,3,3,0,1,3,3,39,0,1,1,0,3,0,1,1,1
1,6,3,6,438,2,3,2,3,2,3,3,33,0,1,1,0,3,0,0,1,1
3,8,1,0,235,2,0,3,0,1,1,3,10,0,1,1,1,0,0,1,1,1
0,13,1,3,190,2,2,3,0,2,0,1,8,0,1,1,1,1,0,0,1,1
0,23,3,2,904,0,0,0,3,2,3,2,28,0,1,0,0,1,1,1,1,0
1,13,3,4,425,0,1,3,3,2,2,0,11,0,1,1,0,0,1,1,1,1
1,8,4,7,128,2,1,3,3,2,2,3,9,0,1,1,1,1,0,0,1,0
3,8,1,6,24,2,3,3,3,2,3,3,37,0,1,1,0,1,0,0,1,1
1,8,1,9,233,2,3,3,3,2,2,3,35,0,1,1,0,1,0,0,1,1
3,8,1,6,67,4,3,3,0,2,2,1,14,0,0,1,0,3,1,0,1,0
2,17,1,3,636,4,3,3,3,0,3,2,1,1,1,2,1,1,0,0,1,1
0,8,3,4,200,3,3,3,3,2,3,3,35,0,1,1,0,1,0,1,1,1
0,30,4,0,919,2,2,2,3,2,3,2,39,0,1,2,0,1,0,1,1,0
3,8,1,2,377,4,1,3,0,2,1,0,42,0,1,1,0,1,0,0,1,1
0,13,3,0,494,0,0,3,3,2,3,0,15,0,1,1,0,1,0,0,1,1
0,23,1,6,448,2,3,3,3,2,3,3,17,0,1,1,0,1,0,0,1,1
0,14,2,9,816,4,1,2,3,2,3,1,17,0,0,2,1,0,1,1,1,1
3,17,3,4,250,0,3,3,2,2,3,3,22,0,1,2,0,3,0,0,1,1
0,23,3,6,441,2,1,3,3,2,3,0,5,1,1,2,0,1,0,0,1,1
3,2,2,6,92,2,0,2,0,2,1,3,5,1,1,1,0,1,0,0,1,1
0,5,1,3,350,2,1,3,3,2,2,0,16,0,1,2,0,1,0,1,1,1
3,8,3,9,468,4,2,1,2,2,3,0,7,0,1,2,0,1,0,1,1,1
0,17,1,5,898,2,0,1,3,0,2,0,20,0,1,1,1,0,1,1,1,0
3,13,0,4,796,2,3,1,3,2,3,2,20,0,0,1,1,0,1,1,1,0
0,8,3,4,775,2,1,1,3,2,1,0,13,0,1,1,0,1,0,0,1,1
1,17,3,3,841,4,2,0,0,2,1,1,11,0,1,1,0,1,0,1,0,1
0,10,3,0,234,1,3,0,2,2,1,3,16,0,1,1,0,1,0,1,1,1
0,2,2,0,246,0,3,0,1,2,1,0,12,0,0,1,1,1,1,0,1,1
2,11,3,2,8,2,2,3,0,2,3,1,4,1,1,2,0,1,0,1,1,1
0,13,3,4,784,2,1,2,3,2,2,3,9,0,1,2,0,3,0,0,1,1
3,23,1,4,846,2,0,3,0,2,1,3,6,1,2,1,1,1,0,1,1,0
1,8,3,6,307,1,3,2,2,2,0,3,16,0,1,1,0,1,0,0,1,1
3,29,1,6,629,4,3,3,3,2,0,3,28,0,1,1,0,1,0,1,1,1
1,26,3,6,820,4,1,3,0,2,2,0,11,0,1,1,0,0,0,1,1,0
1,6,1,3,399,4,2,1,0,0,2,3,8,0,1,2,1,1,0,0,0,1
1,22,1,3,698,1,0,0,0,2,3,0,4,1,1,1,1,1,0,0,1,0
0,8,1,4,454,1,1,2,1,2,2,0,17,0,1,1,0,0,0,1,1,1
1,15,3,6,329,2,0,2,0,2,1,3,6,1,1,1,1,1,0,1,1,0
3,17,1,9,663,2,3,3,0,2,1,0,22,0,1,2,1,0,0,1,1,1
3,8,3,3,317,2,0,2,3,2,1,3,5,1,1,2,0,3,0,0,1,1
2,6,1,4,63,2,3,3,3,2,3,2,44,0,1,0,1,1,0,1,1,1
0,13,3,3,352,4,2,3,0,2,2,3,8,0,1,2,0,1,0,0,1,0
1,8,1,4,396,2,0,3,3,2,1,1,11,0,1,1,1,1,0,0,1,1
1,8,3,6,44,2,0,3,2,2,1,3,21,0,1,1,0,3,0,0,1,1
0,8,3,7,28,2,0,3,3,2,1,0,11,0,1,1,0,1,0,0,1,0
0,8,1,9,335,2,4,3,3,2,1,0,15,0,1,1,1,0,0,1,1,1
1,8,1,4,616,2,0,2,0,0,1,3,10,0,1,1,1,1,0,0,1,0
0,29,3,4,861,4,1,0,0,2,1,0,5,1,1,1,0,1,0,0,1,1
1,23,2,2,812,2,0,3,3,2,2,1,10,0,2,1,0,1,0,1,1,0
3,11,3,3,508,2,2,1,3,2,2,1,8,0,0,1,1,3,0,0,1,1
3,13,3,3,373,2,0,3,3,2,3,2,28,0,0,0,1,1,0,0,1,1
3,31,3,6,882,0,1,1,0,2,3,3,2,1,1,1,0,1,0,1,1,1
3,8,1,6,170,4,3,3,0,2,1,3,19,0,1,1,1,1,0,1,1,1
3,19,2,9,863,3,0,1,3,2,1,0,8,0,1,1,1,1,0,0,1,1
0,8,3,6,61,1,0,3,3,2,2,3,47,0,1,1,0,3,0,0,1,0
0,11,1,6,511,4,1,3,3,1,1,3,16,0,0,1,2,1,0,1,1,1
2,8,3,6,340,2,0,1,0,2,1,0,25,0,1,2,0,3,0,1,1,1
2,2,3,4,47,3,2,1,2,2,1,3,8,0,1,1,0,2,0,0,0,1
0,23,3,6,728,2,2,3,0,2,0,2,11,0,1,1,0,0,0,1,1,1
1,19,3,6,606,2,0,2,3,2,1,0,8,0,1,1,0,0,0,0,1,1
1,13,3,3,469,2,0,1,3,2,1,0,3,1,1,1,0,1,0,0,1,0
3,15,1,3,432,2,2,3,0,2,3,1,4,1,1,1,0,1,0,1,1,1
0,29,0,0,625,0,1,3,3,2,1,0,11,0,1,1,0,1,0,0,1,1
1,2,1,4,74,2,3,0,0,2,3,2,20,0,1,1,1,1,0,1,1,1
3,8,1,4,37,0,1,3,0,2,2,0,32,0,1,1,1,1,0,1,1,1
1,23,1,3,752,2,0,2,3,1,1,1,9,0,1,1,1,1,0,0,1,1
3,13,1,6,293,3,3,3,3,2,3,0,27,0,1,1,1,1,0,0,1,1
3,2,3,6,211,0,3,1,3,2,3,2,23,0,0,0,0,1,1,1,1,1
3,6,3,6,352,2,0,0,3,2,3,1,19,0,1,1,0,1,0,1,0,1
2,23,3,6,767,2,0,3,3,2,0,0,5,1,1,1,0,1,0,0,1,1
0,17,1,9,842,3,3,1,0,2,3,2,10,0,1,2,0,1,0,0,1,1
0,17,2,0,814,0,1,3,3,2,3,0,17,0,1,2,0,0,0,1,1,1
1,8,3,3,183,2,0,1,0,2,3,0,1,1,1,2,0,1,0,0,1,0
1,5,1,7,187,0,3,2,3,1,3,3,29,0,1,1,1,1,1,0,0,1
1,8,0,8,3,2,3,3,2,2,0,0,26,0,0,1,0,3,0,0,1,1
0,17,3,4,618,0,1,1,3,2,2,0,19,0,0,1,1,1,0,1,1,1
3,2,1,6,345,4,0,0,3,2,1,3,15,0,1,1,1,3,1,0,1,1
3,17,1,6,538,0,3,2,3,2,3,3,17,0,1,1,0,1,1,1,1,1
3,13,1,4,118,2,2,3,0,2,0,1,11,0,1,1,1,1,0,0,1,1
3,11,3,1,177,1,1,3,3,2,2,1,17,0,1,1,1,1,0,1,1,1
0,6,3,4,825,2,4,1,3,2,3,2,50,0,0,0,0,0,0,1,1,1
3,23,3,4,85,1,3,3,3,2,3,1,17,0,1,1,0,1,0,0,1,1
3,2,3,3,550,1,0,0,3,2,1,0,13,0,1,1,0,1,0,1,1,1
1,13,3,3,132,2,4,3,0,2,1,0,14,0,1,1,0,1,0,0,1,0
0,7,3,3,292,3,2,3,0,2,0,3,1,1,1,1,0,1,0,0,1,1
3,17,3,3,676,2,1,1,0,2,3,1,6,1,1,2,0,1,0,1,1,1
0,17,1,0,357,2,3,3,1,2,3,3,12,0,1,1,1,1,0,1,1,0
1,11,4,4,97,2,3,3,3,2,2,0,14,0,1,2,1,1,1,0,1,0
3,8,3,3,60,2,0,3,0,2,0,3,7,0,1,1,0,1,0,1,1,1
0,17,2,3,386,2,4,2,0,2,1,1,15,0,1,1,0,0,0,1,1,0
0,4,3,6,237,2,0,3,3,1,1,3,14,0,1,1,0,1,0,0,0,1
1,15,2,2,605,2,2,1,3,2,0,1,7,0,1,1,1,1,0,0,1,0
3,21,0,9,834,4,4,3,0,2,0,3,34,0,0,1,0,0,0,1,1,0
1,8,3,3,485,2,0,1,1,2,0,0,23,0,1,1,0,1,0,0,1,1
1,2,1,6,2,1,3,3,3,2,3,0,33,0,1,1,1,1,0,0,1,1
3,8,3,6,367,2,1,3,3,2,1,0,12,0,1,2,1,0,1,1,1,1
1,15,1,4,19,2,3,3,3,2,3,3,46,0,1,1,1,1,0,0,1,1
3,23,2,0,877,2,2,0,1,2,0,0,9,0,1,1,1,1,0,0,1,0
0,23,2,0,706,2,0,1,1,2,1,3,11,0,2,1,1,0,0,1,1,0
1,15,0,4,302,4,0,3,3,2,1,1,21,0,1,1,1,3,1,0,1,0
3,17,1,3,653,3,0,3,3,2,3,3,31,0,1,1,0,1,0,1,1,1
0,13,1,4,78,2,3,3,3,2,3,0,17,0,0,1,0,1,1,1,1,0
3,11,1,6,216,2,0,3,3,2,1,1,12,0,1,1,1,1,0,0,1,1
0,5,0,9,742,2,3,1,0,2,3,2,51,0,0,0,0,0,1,1,1,0
0,12,1,4,143,2,4,1,3,2,2,0,49,0,1,0,2,2,0,1,1,1
1,8,3,6,36,0,1,3,2,2,0,1,1,1,1,1,0,1,0,0,1,0
0,13,4,3,588,2,0,0,0,2,3,0,14,0,0,1,1,1,0,1,1,1
3,17,3,0,713,3,0,1,3,2,2,1,35,0,1,1,2,0,0,1,1,0
0,29,4,0,659,0,1,3,3,2,3,2,15,0,1,0,0,3,1,0,1,0
0,19,3,0,669,2,0,3,3,2,1,0,17,0,1,1,0,1,1,1,1,0
3,2,3,6,393,2,1,1,2,2,1,3,10,0,1,2,0,1,0,0,1,1
0,27,3,6,559,0,0,3,3,1,3,1,2,1,1,2,0,1,0,0,1,0
0,5,1,2,261,2,3,1,0,2,2,0,15,0,1,1,1,0,0,1,1,0
3,2,1,6,226,2,0,0,0,2,0,0,9,0,1,1,1,1,0,1,1,1
0,8,3,3,98,0,2,3,0,2,3,0,8,0,0,2,3,1,0,0,1,0
0,17,3,9,519,4,3,3,3,2,3,2,17,0,0,0,0,1,0,1,1,1
0,13,2,3,699,2,3,3,1,2,2,2,21,0,1,1,0,0,0,1,1,0
3,5,1,2,93,1,3,3,3,2,1,0,33,0,1,1,1,1,0,1,1,1
1,8,3,4,141,2,0,3,2,2,2,3,8,0,1,1,0,3,0,0,1,1
3,19,2,0,741,2,1,2,3,2,3,0,7,0,1,1,1,1,0,0,1,1
1,8,3,8,83,2,1,3,2,2,3,1,2,1,1,2,0,1,0,0,1,0
3,8,1,4,259,2,3,3,3,2,0,3,19,0,1,1,1,3,1,0,1,1
1,21,1,9,887,2,3,2,3,2,3,2,19,0,1,0,2,0,1,1,1,1
3,8,1,3,357,2,3,3,3,2,3,3,24,0,1,1,2,1,0,1,1,1
0,8,1,1,240,2,1,3,3,2,2,1,7,0,1,1,0,1,0,0,1,1
1,17,3,0,800,2,0,1,2,2,1,0,2,1,2,1,0,3,0,0,1,1
3,8,3,9,236,3,1,2,3,2,1,1,36,0,1,1,0,1,0,0,0,1
3,5,1,6,566,4,0,0,3,2,1,3,14,0,1,1,1,1,1,0,1,1
3,23,3,6,658,4,3,1,0,2,3,3,26,0,1,1,0,3,0,1,1,1
1,19,4,0,749,2,4,1,3,2,3,1,31,0,2,1,1,1,0,1,1,0
2,21,2,0,348,2,3,3,3,2,3,3,47,0,1,1,0,0,0,1,1,0
3,23,1,6,592,4,3,3,3,2,1,0,32,0,1,1,0,1,0,1,1,1
0,2,1,8,92,4,1,0,0,2,2,1,20,0,1,1,1,3,0,0,1,1
1,13,4,0,570,2,1,2,3,2,0,1,12,0,0,1,0,1,0,1,1,1
2,23,3,6,667,2,0,1,3,2,1,3,4,1,1,1,0,1,0,1,1,1
1,17,3,3,557,2,0,1,1,2,1,3,5,1,1,2,0,3,0,0,1,1
3,6,3,4,218,2,0,1,0,2,3,0,45,0,1,1,0,1,0,1,1,1
0,8,3,6,25,2,2,3,2,1,0,3,7,0,0,1,0,3,0,0,1,1
1,8,3,2,150,4,0,3,0,2,3,1,4,1,0,2,0,1,0,1,1,1
3,8,3,6,45,2,0,3,3,2,1,3,11,0,0,1,1,1,0,0,1,1
3,17,2,0,550,4,0,3,3,2,3,3,13,0,1,1,1,1,1,1,1,1
3,11,3,9,718,2,0,2,3,2,1,0,11,0,1,1,0,1,0,1,1,1
3,23,4,7,493,2,0,3,3,2,1,0,8,0,1,1,1,1,0,0,1,1
0,29,3,6,890,3,1,0,3,0,1,2,8,0,0,1,1,1,0,1,1,0
1,8,3,3,847,2,3,3,3,2,3,2,34,0,1,0,0,0,0,1,1,0
3,5,3,6,254,2,1,3,3,2,1,0,3,1,1,1,0,1,0,0,1,0
1,17,3,3,577,2,2,3,3,2,0,2,3,1,0,0,0,1,0,0,1,1
2,23,3,6,692,2,0,3,3,2,1,0,7,0,1,1,0,1,0,0,1,0
3,5,3,4,475,1,3,1,3,2,3,2,32,0,1,0,0,3,0,0,1,1
3,8,3,6,403,0,1,2,3,2,0,2,16,0,1,1,0,1,0,0,1,1
0,13,3,6,75,2,0,3,2,1,1,3,6,1,1,1,0,3,0,0,1,1
3,0,1,6,279,2,1,1,3,2,0,3,23,0,1,1,2,3,1,0,1,1
1,17,3,6,327,2,4,3,3,2,1,0,11,0,2,1,0,0,1,0,1,0
0,2,3,4,913,4,4,0,3,2,1,1,4,1,1,1,0,2,0,1,1,0
0,15,3,0,522,0,3,3,1,2,1,0,42,0,0,2,1,3,0,0,1,0
3,8,1,6,189,2,0,3,0,2,1,1,16,0,1,1,1,1,0,0,1,1
1,21,3,6,479,2,3,0,3,1,2,1,20,0,1,1,0,1,1,0,1,1
1,17,3,4,86,4,3,3,0,2,1,0,10,0,0,1,0,1,0,0,1,0
3,2,3,6,297,2,1,2,3,2,1,1,32,0,1,1,0,1,1,0,1,1
1,29,4,9,715,2,3,2,3,2,3,2,5,1,1,0,1,1,1,0,1,0
3,8,1,0,144,2,0,2,0,2,1,3,8,0,1,1,1,1,0,0,1,1
3,8,0,8,611,1,0,3,0,2,2,3,16,0,1,1,0,3,1,0,1,1
