checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence,property_magnitude,age,age_cat,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
3,17,1,3,294,2,1,3,3,2,2,1,21,0,1,1,1,1,0,0,1,1
0,13,3,6,194,2,3,3,2,1,1,3,13,0,1,1,0,3,0,0,1,1
2,2,1,4,202,0,3,1,1,2,3,0,9,0,1,1,1,1,1,1,1,1
1,17,3,4,574,2,2,3,0,2,0,1,8,0,1,1,0,1,0,0,1,0
1,23,3,9,755,2,3,1,3,2,3,2,23,0,1,0,0,1,1,0,1,1
2,5,3,6,131,0,3,1,1,2,3,3,30,0,1,1,0,1,0,0,1,1
0,17,1,6,158,0,2,3,3,2,3,2,19,0,0,1,1,1,1,0,1,0
1,17,3,4,155,2,2,3,0,2,3,1,5,1,1,2,0,1,0,0,1,0
3,6,3,4,196,4,0,3,3,1,3,1,8,0,1,1,0,3,0,0,1,0
2,11,1,9,453,1,0,1,3,2,1,0,17,0,1,1,0,1,0,1,1,1
0,11,0,4,810,0,4,0,3,2,1,1,15,0,1,1,0,0,1,1,1,0
3,17,3,6,236,2,0,3,2,2,1,1,9,0,1,1,0,1,0,0,1,1
3,24,3,9,862,0,3,3,3,2,1,0,26,0,1,1,0,0,0,1,1,1
1,8,3,4,58,2,1,3,3,2,1,3,7,0,1,1,0,1,0,0,1,0
3,23,3,9,721,2,0,1,3,2,1,2,13,0,1,0,0,0,0,1,1,1
2,11,3,0,506,2,1,1,3,2,3,1,7,0,1,2,0,1,0,1,1,1
0,8,2,6,20,2,0,3,2,0,3,3,1,1,1,2,1,1,0,0,1,1
3,17,3,4,427,4,2,3,3,2,0,1,35,0,1,1,0,1,0,0,1,1
1,2,1,4,23,2,1,3,0,2,2,1,18,0,1,1,1,1,0,0,0,1
1,2,1,4,217,2,2,1,3,2,3,3,21,0,1,1,0,3,1,0,0,1
3,23,1,3,818,2,2,1,0,2,3,1,4,1,1,2,1,1,0,1,1,0
1,2,3,4,152,0,3,2,3,2,1,1,24,0,1,1,0,1,0,1,1,1
3,2,1,6,43,4,3,3,3,2,3,2,17,0,1,0,1,1,0,0,1,1
3,17,1,7,756,2,3,2,3,2,3,2,25,0,1,0,1,1,0,0,1,1
1,13,3,6,582,2,0,1,0,2,1,3,5,1,1,1,0,1,0,0,1,0
1,29,4,3,817,2,0,2,3,2,3,2,34,0,1,0,1,1,1,0,1,0
3,17,3,9,614,0,1,2,0,2,3,0,4,1,1,1,0,1,0,0,1,1
0,13,3,6,129,2,0,3,0,1,3,3,7,0,1,1,0,3,1,0,1,1
0,18,3,9,849,2,2,1,3,2,2,0,11,0,1,1,1,1,0,0,1,1
3,11,1,2,272,0,0,3,0,2,2,0,12,0,1,1,0,1,0,0,1,1
3,0,1,6,262,2,1,1,3,2,0,3,23,0,1,1,1,3,1,0,1,1
1,23,3,6,436,2,0,3,1,2,3,0,12,0,1,2,0,1,0,0,1,0
1,2,3,4,33,2,2,2,3,2,3,3,22,0,1,1,0,3,1,1,1,1
0,23,3,2,428,2,1,2,3,2,0,0,13,0,1,1,1,1,1,0,1,1
0,11,3,4,497,0,0,1,0,2,3,0,9,0,1,2,1,1,0,1,1,0
3,8,2,9,262,2,0,3,2,2,3,3,22,0,1,2,0,1,0,0,1,1
3,17,3,6,197,0,1,3,2,2,2,1,7,0,1,1,0,1,0,1,1,1
3,17,3,6,571,4,2,3,3,2,1,0,6,1,1,1,1,1,0,0,1,1
2,15,1,2,439,2,2,1,1,2,0,0,14,0,1,2,0,1,0,0,1,0
1,2,3,4,222,4,4,3,0,2,2,1,52,0,1,1,0,0,0,1,1,1
0,13,1,3,635,2,3,2,0,2,3,1,18,0,1,1,0,1,0,1,1,1
1,29,3,4,843,2,3,3,3,2,3,2,23,0,0,0,0,0,0,0,1,0
2,13,3,3,560,2,2,0,0,2,0,1,26,0,2,1,0,3,0,0,1,1
0,8,3,6,274,2,2,0,2,2,0,3,4,1,1,2,0,1,0,0,1,0
3,17,2,4,381,2,3,3,3,2,3,2,41,0,1,0,1,1,0,1,1,1
1,21,3,3,791,4,3,3,3,2,3,1,12,0,1,1,0,1,0,0,1,0
2,13,3,3,537,2,0,1,3,2,0,3,15,0,1,1,0,3,1,0,1,0
3,8,1,4,175,2,3,3,3,2,3,3,42,0,1,1,1,3,0,0,1,1
1,17,2,4,205,2,4,3,3,2,1,3,24,0,1,0,1,1,1,0,1,0
3,17,1,4,378,2,0,3,0,2,3,0,18,0,1,1,0,1,0,1,1,1
3,17,3,6,282,2,1,2,3,2,0,0,13,0,0,1,0,1,1,0,1,1
1,8,0,6,26,2,0,3,0,2,3,3,5,1,0,1,0,3,0,0,1,0
3,29,1,9,865,4,1,1,3,2,0,2,16,0,1,0,1,1,0,1,1,1
3,8,1,7,105,4,1,3,0,2,3,3,4,1,1,1,1,1,0,0,1,1
3,2,0,6,314,1,3,1,3,2,3,1,26,0,0,1,0,3,1,0,1,1
1,29,3,6,815,2,1,0,2,1,0,3,15,0,1,1,1,1,0,1,1,0
0,8,1,4,375,0,2,3,3,2,0,0,8,0,1,1,0,1,0,0,1,1
0,5,3,2,149,2,1,3,0,2,3,1,48,0,1,1,1,0,0,1,1,1
0,8,3,6,204,2,2,1,3,2,0,0,3,1,2,1,0,1,0,0,1,0
0,13,4,4,429,0,2,2,0,2,2,0,9,0,1,1,1,1,0,0,1,0
3,15,4,4,736,4,0,0,0,2,3,1,10,0,0,1,1,1,0,1,1,0
1,17,0,3,622,2,1,2,3,2,3,0,8,0,0,1,0,1,0,0,1,0
0,13,1,3,355,2,2,1,3,2,1,3,12,0,1,1,1,3,0,0,1,0
1,17,3,9,548,4,3,3,3,2,3,2,30,0,0,0,0,1,1,1,1,1
1,17,0,6,280,2,1,3,3,1,3,0,5,1,0,2,0,3,0,0,1,0
2,2,2,6,38,2,2,1,0,2,0,1,10,0,0,1,0,1,0,0,1,1
0,23,3,4,902,4,0,0,3,2,3,2,18,0,1,0,0,1,0,1,1,0
0,17,2,0,722,4,0,3,3,2,1,1,18,0,0,1,1,0,0,1,1,1
0,17,2,6,283,0,1,2,0,2,1,1,4,1,1,2,1,1,0,1,1,1
1,8,3,4,221,2,1,1,1,2,2,0,17,0,1,1,0,1,0,0,1,0
3,17,1,6,486,3,3,1,3,2,1,0,15,0,1,1,0,1,0,0,1,1
0,29,3,6,679,4,1,3,3,2,0,0,22,0,1,1,1,1,1,1,1,1
1,29,3,6,806,2,0,2,0,2,1,0,12,0,1,1,0,1,0,1,1,0
1,17,3,3,586,2,2,3,0,2,3,3,4,1,1,2,0,3,0,1,1,0
3,21,1,6,771,2,1,2,3,0,1,0,19,0,1,1,0,1,0,0,1,1
3,17,3,9,754,4,4,1,0,2,3,1,7,0,1,2,0,0,0,1,1,1
1,11,3,0,70,2,0,3,0,2,3,1,3,1,1,1,0,3,0,0,1,1
0,5,3,6,122,2,3,3,3,2,3,0,8,0,1,1,1,3,0,0,1,1
3,11,1,3,526,2,1,1,0,0,2,0,5,1,0,1,1,1,0,0,1,1
0,8,3,6,546,2,1,1,0,2,0,3,8,0,1,1,0,1,0,0,1,1
3,17,1,2,354,4,0,2,0,2,1,0,14,0,1,1,1,1,0,1,1,1
0,23,1,4,529,2,2,3,1,2,3,0,8,0,1,1,1,1,0,0,1,0
3,17,3,8,94,2,2,3,2,2,2,0,8,0,1,1,1,3,0,0,1,1
0,13,1,4,119,2,3,2,3,1,2,3,11,0,0,1,1,1,0,0,1,0
0,8,1,4,575,2,2,0,3,2,2,3,30,0,0,1,1,3,1,0,1,1
3,5,3,3,228,2,0,3,0,2,1,3,7,0,1,2,0,1,0,0,1,1
0,23,3,7,456,2,2,3,3,2,0,2,14,0,1,2,0,3,0,0,1,0
3,8,3,4,400,4,3,3,0,2,3,2,33,0,1,0,0,0,0,1,1,1
1,13,3,3,382,2,0,0,0,2,3,3,1,1,0,2,0,1,0,0,1,0
1,5,1,4,527,2,0,1,3,2,1,3,17,0,1,2,1,1,1,0,1,1
1,8,3,3,188,2,0,3,3,1,0,1,2,1,1,1,0,3,0,0,1,1
1,13,3,1,159,2,0,3,2,2,2,3,28,0,1,1,0,3,0,1,1,0
1,8,1,3,423,2,3,2,3,2,2,1,41,0,1,1,1,1,0,0,1,0
1,8,1,6,7,2,1,3,0,2,2,3,39,0,1,1,3,3,0,1,1,1
0,17,2,4,368,4,0,3,0,2,3,0,23,0,1,2,1,1,0,1,1,1
3,15,3,0,290,3,3,3,0,2,3,3,17,0,0,1,0,3,0,0,1,1
0,17,3,4,510,2,0,2,0,2,3,1,1,1,1,2,0,3,0,1,1,0
1,17,0,5,215,4,3,3,3,2,2,0,21,0,2,1,0,0,0,1,1,0
0,2,0,4,91,0,2,0,0,2,0,1,13,0,2,1,0,3,0,0,1,0
1,17,3,4,243,2,1,3,0,2,3,0,4,1,1,2,1,1,0,0,1,0
0,17,4,0,694,2,0,0,3,2,3,3,17,0,1,1,2,3,0,1,1,0
3,13,1,4,523,2,1,1,3,2,1,1,12,0,0,1,1,1,0,0,1,0
3,17,2,0,662,2,0,0,3,2,1,2,13,0,1,0,0,1,0,0,1,1
0,3,3,6,445,2,2,0,0,1,0,3,26,0,1,1,0,1,0,0,1,1
0,5,3,3,87,2,0,3,0,2,0,1,11,0,1,1,0,1,0,0,1,0
0,17,0,2,330,2,1,3,0,2,3,2,15,0,0,0,0,3,0,0,1,0
3,23,3,3,595,2,0,3,0,2,1,0,9,0,1,1,0,0,0,1,1,0
2,6,3,3,181,2,2,3,0,2,1,1,4,1,1,1,0,1,0,0,1,1
1,17,0,3,531,1,0,3,3,2,3,3,3,1,2,1,0,1,0,1,1,1
3,17,1,0,709,2,0,2,3,2,1,3,51,0,1,1,0,0,0,1,1,1
0,23,3,6,502,0,0,3,0,0,3,2,31,0,1,0,0,1,0,0,1,0
3,13,3,6,383,2,2,3,3,2,0,3,14,0,1,1,0,1,0,0,1,1
3,11,3,9,193,4,3,3,3,2,3,2,26,0,0,0,0,1,1,0,1,1
1,8,3,1,53,0,4,3,0,2,2,1,3,1,1,1,0,1,0,0,1,0
2,6,3,4,170,0,3,0,0,2,3,2,29,0,1,0,0,3,1,0,1,0
1,15,3,6,596,3,2,3,0,2,1,0,10,0,0,1,0,1,0,0,1,1
1,17,0,9,640,2,0,0,0,1,3,0,3,1,0,2,0,1,0,0,0,1
3,13,2,3,323,2,1,3,0,2,0,3,3,1,1,1,0,1,0,0,1,0
0,29,4,0,901,4,0,1,3,2,1,0,29,0,0,1,0,0,0,1,1,1
0,31,2,6,870,4,0,1,3,2,1,2,8,0,1,0,0,0,0,0,1,1
1,2,1,4,647,2,0,0,3,2,2,3,18,0,1,2,2,1,1,0,1,1
0,21,3,3,609,0,0,1,0,0,3,0,2,1,1,2,0,1,0,0,1,0
3,8,3,4,29,2,0,3,1,2,1,3,30,0,1,1,0,3,0,0,1,1
0,15,1,0,644,2,1,1,3,2,2,1,8,0,1,1,1,1,0,0,1,1
3,13,1,4,271,2,0,2,3,2,1,1,13,0,0,1,1,1,0,0,1,0
3,29,3,0,668,4,0,3,1,2,1,3,19,0,0,1,0,1,0,0,1,0
1,8,3,3,334,2,2,3,0,2,0,0,3,1,1,2,0,1,0,0,1,1
1,13,3,6,489,2,0,3,3,2,3,2,46,0,1,0,1,1,0,0,1,0
3,11,3,6,371,4,3,3,3,2,1,0,16,0,1,1,0,1,0,0,1,1
2,2,3,3,394,2,0,1,3,2,1,3,22,0,1,1,0,1,0,1,1,1
0,5,0,4,242,0,1,1,3,2,2,2,10,0,1,1,0,1,0,0,1,0
3,26,1,3,683,1,0,3,3,2,3,3,17,0,1,1,1,1,0,1,1,1
3,5,3,2,657,4,3,0,3,2,3,3,45,0,1,1,0,3,0,0,1,1
1,17,3,6,646,2,0,1,0,2,3,0,9,0,1,1,0,1,0,0,1,1
1,13,0,3,283,2,0,3,3,2,2,0,25,0,0,1,0,1,0,0,1,0
0,11,3,6,244,4,2,3,3,2,0,1,4,1,1,1,0,1,0,0,1,1
3,5,3,3,372,2,2,1,0,0,1,0,0,1,1,2,1,1,0,0,1,0
0,17,3,4,214,2,2,2,0,2,3,0,6,1,1,1,0,3,0,1,1,0
3,8,3,2,230,2,3,3,3,2,3,1,28,0,0,1,2,1,1,1,1,1
3,17,3,6,223,1,1,3,0,2,0,0,9,0,1,1,0,1,0,0,1,1
3,31,2,6,916,2,1,1,3,2,3,0,2,1,1,1,1,1,0,1,1,1
3,8,3,6,257,2,2,3,0,2,2,0,15,0,1,1,0,1,1,0,1,1
1,26,2,6,702,2,1,2,3,2,1,1,7,0,0,1,1,1,1,1,1,0
1,13,3,2,55,2,4,3,0,2,0,3,8,0,1,1,0,2,0,0,1,0
0,11,3,7,195,2,3,3,3,2,3,0,19,0,1,1,1,3,0,0,1,1
3,11,3,2,717,0,0,2,3,2,1,1,21,0,1,1,0,0,0,1,1,0
3,17,1,6,333,2,1,3,2,1,1,0,14,0,1,1,1,1,0,1,1,1
1,13,1,6,339,2,1,3,2,2,0,1,13,0,1,1,1,0,0,1,1,1
3,23,2,0,850,4,2,3,3,2,3,0,8,0,1,2,1,1,0,1,1,0
1,21,4,3,712,2,0,1,1,1,1,3,13,0,1,1,1,1,0,0,1,1
3,8,3,4,227,1,0,1,0,2,1,1,7,0,1,1,0,1,0,0,1,0
2,17,3,4,96,2,1,3,3,2,2,2,19,0,0,0,0,1,1,0,1,0
1,8,3,2,39,2,0,3,3,2,3,0,21,0,1,2,0,3,1,0,1,0
1,29,3,2,833,2,1,3,3,2,0,2,31,0,1,0,0,0,0,1,1,1
0,8,3,3,351,2,0,3,3,2,1,1,18,0,1,1,0,3,0,0,1,0
1,17,3,4,437,2,3,3,3,0,0,3,26,0,1,1,0,1,0,0,1,0
0,23,2,4,853,0,3,1,3,2,3,0,23,0,1,1,3,0,0,1,1,0
3,17,1,9,449,2,1,3,3,2,2,0,16,0,1,1,1,1,0,1,1,1
1,10,3,4,677,2,4,0,3,2,3,2,3,1,1,0,0,1,0,0,1,1
0,8,3,4,80,2,3,3,3,2,3,0,22,0,0,1,0,3,1,0,1,0
3,29,3,6,883,4,1,3,3,2,2,0,18,0,2,1,0,1,0,1,1,1
0,21,4,0,693,2,0,1,0,2,0,0,9,0,1,1,1,1,0,0,1,1
0,13,1,3,792,2,3,1,3,2,0,2,22,0,1,1,0,1,0,1,1,1
2,8,3,6,191,2,0,2,2,2,3,3,4,1,1,2,0,1,0,0,1,1
1,8,3,4,82,4,0,3,2,2,1,0,4,1,1,1,0,1,0,0,1,0
3,15,3,3,422,2,3,3,3,2,1,3,31,0,1,1,1,1,0,0,1,1
0,2,2,3,116,2,4,3,3,2,0,1,16,0,2,1,1,0,0,1,1,1
2,2,1,2,113,2,0,1,0,2,3,1,31,0,1,1,0,3,0,0,1,1
3,17,1,5,789,2,4,3,3,0,1,2,8,0,0,1,1,0,0,1,1,1
0,21,0,3,615,3,0,3,3,2,1,0,15,0,2,1,0,1,1,1,1,1
3,29,0,0,634,2,0,0,0,2,0,3,8,0,2,1,0,1,0,0,1,1
1,8,1,4,732,2,3,2,3,0,3,1,24,0,1,2,1,1,0,1,1,0
2,21,1,6,556,2,3,3,3,2,3,1,28,0,1,1,0,1,0,0,1,1
3,17,1,0,687,0,0,2,3,2,2,1,8,0,1,1,1,3,0,1,1,1
3,23,3,0,760,0,1,1,3,2,1,0,12,0,1,1,1,1,0,1,1,1
3,31,3,4,885,2,3,1,3,2,3,1,23,0,1,1,0,0,0,1,1,1
3,2,1,4,389,1,0,0,2,2,1,0,5,1,1,1,0,1,0,0,1,1
3,15,2,0,488,1,2,3,3,2,1,3,22,0,0,1,0,3,1,0,1,0
3,21,1,6,710,2,1,3,0,2,3,0,7,0,1,2,0,0,0,1,1,1
3,17,1,3,743,2,3,3,3,2,3,0,14,0,1,1,0,1,0,1,1,1
0,32,3,6,758,0,0,1,2,2,1,0,5,1,1,1,0,1,0,0,1,0
1,17,3,6,456,2,3,3,3,2,3,3,45,0,0,2,0,3,0,0,1,1
3,13,3,6,247,2,2,2,0,2,0,3,7,0,1,1,0,1,0,0,1,1
3,2,3,2,276,2,2,0,0,2,1,2,37,0,1,1,0,1,0,0,1,1
3,8,3,6,430,4,0,3,3,2,3,2,18,0,1,0,0,1,0,1,1,1
3,11,2,6,254,2,0,3,2,2,2,3,14,0,0,1,1,1,0,0,1,1
3,17,1,6,740,2,2,2,2,2,2,2,28,0,1,0,2,1,0,1,1,1
0,23,2,0,879,0,1,0,3,2,2,1,12,0,1,1,1,3,1,1,1,1
3,31,3,4,798,4,0,3,3,2,3,2,15,0,1,0,0,1,1,1,1,1
2,6,1,6,212,4,1,3,3,2,1,1,8,0,1,1,1,1,0,1,1,1
0,23,2,4,536,0,3,3,3,2,2,2,11,0,1,0,0,1,0,0,1,1
3,5,3,6,517,0,3,2,3,0,3,0,16,0,1,1,0,1,0,1,1,1
1,8,3,4,643,3,0,0,3,2,2,1,12,0,1,1,0,1,1,0,1,1
1,11,1,3,102,2,0,1,1,2,2,1,6,1,1,1,1,1,0,0,1,1
0,11,3,7,497,0,0,2,0,2,1,3,6,1,1,1,0,3,0,0,1,1
0,17,3,6,540,0,2,1,3,2,0,0,10,0,1,1,0,1,0,0,1,1
1,2,1,4,723,4,2,0,3,2,2,3,25,0,1,1,1,3,1,0,1,1
3,17,3,6,431,2,1,3,3,2,1,0,9,0,1,1,0,1,0,1,1,1
3,2,3,9,166,1,0,1,3,2,3,1,31,0,1,2,0,1,0,0,1,1
0,8,3,6,126,2,1,3,3,1,2,3,10,0,1,1,1,1,0,0,0,1
3,8,1,4,88,2,4,0,0,2,1,1,19,0,1,1,0,2,0,0,1,1
3,13,1,6,321,2,0,3,3,2,1,0,5,1,1,1,1,1,0,0,1,1
2,11,3,2,347,2,3,3,3,2,3,0,21,0,1,2,0,0,0,1,1,1
3,8,3,3,130,1,0,3,0,2,3,0,10,0,1,2,0,3,0,0,1,0
1,29,1,9,790,2,3,3,3,2,3,2,27,0,1,0,1,1,0,1,1,0
2,17,3,6,224,0,3,3,0,2,1,2,28,0,1,0,0,1,0,1,1,1
0,21,2,0,474,0,3,3,3,2,1,1,22,0,2,1,1,1,0,0,1,1
0,19,3,0,480,2,2,3,0,2,0,1,13,0,1,1,0,1,1,1,1,1
3,11,3,4,751,1,3,0,0,2,3,2,16,0,1,0,0,1,0,0,1,1
0,29,3,4,799,0,1,2,3,2,1,1,5,1,1,1,0,1,0,0,1,0
0,8,4,3,549,2,2,3,0,2,2,1,6,1,1,2,1,1,0,0,1,0
0,5,3,6,154,2,3,3,0,2,3,3,6,1,1,1,0,1,0,0,1,1
0,5,3,6,395,2,0,1,3,2,1,3,18,0,1,1,0,3,1,0,1,1
3,13,1,6,27,1,3,3,3,2,2,1,13,0,0,1,1,0,0,1,1,1
1,2,0,2,148,2,3,3,0,2,3,2,16,0,1,0,0,1,0,0,1,0
3,15,3,9,472,4,3,3,3,2,3,3,27,0,1,1,0,0,0,1,1,1
1,5,1,6,134,2,0,3,3,2,3,3,6,1,1,1,1,3,0,0,1,1
0,31,3,4,909,2,1,3,3,2,1,2,8,0,1,1,0,0,0,1,1,0
3,21,1,9,837,4,3,0,3,2,3,0,44,0,1,1,1,1,0,0,1,1
3,21,1,6,567,4,3,2,3,2,1,0,21,0,1,1,1,1,1,1,1,1
3,13,3,6,263,2,0,3,3,2,1,2,13,0,1,0,0,0,0,1,1,1
2,17,1,6,576,4,0,2,3,2,1,0,12,0,1,1,1,1,0,1,1,1
0,14,4,9,778,0,3,2,2,2,3,0,12,0,0,1,1,1,0,1,1,1
2,5,4,6,206,2,2,3,3,2,1,0,15,0,1,1,1,0,0,1,1,0
0,2,0,2,12,3,2,3,0,2,1,1,5,1,0,2,0,1,1,0,1,0
1,8,3,4,164,2,0,3,0,2,1,3,5,1,1,1,0,3,0,0,1,0
0,5,3,6,65,1,0,3,0,2,2,3,47,0,1,1,0,3,0,0,1,1
3,19,3,4,483,2,0,2,0,2,2,3,2,1,1,2,0,1,0,0,1,0
3,2,1,4,0,3,0,1,0,2,1,3,22,0,0,1,1,3,0,0,1,1
3,11,1,6,199,1,0,1,2,2,1,1,28,0,1,1,1,3,0,0,1,1
1,13,3,6,341,2,0,3,0,2,3,0,6,1,0,2,1,1,0,0,1,0
0,29,0,0,794,2,3,3,0,2,2,2,40,0,1,2,0,1,0,0,1,0
2,17,1,0,181,3,0,1,1,2,3,3,17,0,1,1,1,1,0,1,1,1
0,17,2,6,793,2,2,0,3,2,1,0,14,0,1,1,0,1,0,0,1,1
1,17,3,6,374,2,0,1,3,2,3,3,2,1,1,2,0,3,1,0,1,0
0,4,3,6,59,2,1,3,0,1,1,3,25,0,1,1,0,3,0,0,1,1
3,17,3,9,490,3,0,1,0,2,3,0,9,0,1,2,0,1,0,1,1,1
3,0,1,4,599,2,1,0,0,2,0,3,18,0,1,1,0,1,1,0,1,1
0,23,0,1,680,4,2,2,0,2,1,2,10,0,0,1,0,2,0,0,1,1
0,17,3,9,894,2,0,0,0,2,3,0,4,1,1,2,1,0,0,0,1,0
1,13,3,4,703,0,0,2,3,2,3,0,16,0,1,1,0,3,1,1,1,1
3,2,1,4,807,2,1,0,3,2,2,2,26,0,1,1,1,0,1,1,1,1
0,21,4,0,697,0,0,3,0,2,3,0,7,0,1,2,1,3,0,0,1,0
1,17,0,4,442,0,1,1,3,2,2,0,13,0,0,1,0,1,0,0,1,1
0,6,0,6,114,2,0,3,3,2,3,3,4,1,2,1,0,3,0,0,1,1
3,15,3,6,578,4,3,3,3,2,2,1,22,0,1,1,0,1,0,1,1,1
1,17,0,3,473,1,0,3,3,2,3,3,3,1,2,1,0,1,0,1,1,1
1,24,1,3,910,4,1,3,3,2,3,1,11,0,1,1,1,0,0,1,1,1
1,9,1,0,320,2,2,2,3,2,0,1,9,0,0,1,1,3,0,0,1,1
1,11,3,4,476,2,4,0,0,2,3,0,4,1,1,2,0,1,0,0,1,1
1,8,3,4,180,2,2,2,0,2,0,3,18,0,1,1,0,3,0,0,1,0
